id,x,y,tier,cluster
297,0.686073,0.497035,3,1
298,0.692868,0.426059,3,1
299,0.66429,0.466588,3,1
300,0.634354,0.465288,3,1
301,0.708656,0.480943,3,1
302,0.693707,0.453187,3,1
303,0.655166,0.496685,3,1
304,0.683151,0.467538,3,1
305,0.686948,0.453465,3,1
306,0.649019,0.474828,3,1
307,0.67436,0.444408,3,1
308,0.652851,0.467907,3,1
309,0.676069,0.485918,3,1
310,0.641728,0.50387,3,1
311,0.671963,0.474132,3,1
312,0.657285,0.482572,3,1
313,0.680139,0.454838,3,1
314,0.668002,0.458045,3,1
315,0.701436,0.469956,3,1
316,0.677644,0.451616,3,1
317,0.678121,0.499,3,1
318,0.640339,0.512584,3,1
319,0.693733,0.452589,3,1
320,0.66323,0.493225,3,1
321,0.682751,0.431792,3,1
322,0.649673,0.484855,3,1
323,0.661311,0.463327,3,1
324,0.654201,0.481252,3,1
325,0.684722,0.47834,3,1
326,0.685259,0.500003,3,1
327,0.697128,0.492751,3,1
328,0.64663,0.510423,3,1
329,0.687866,0.503512,3,1
330,0.663624,0.447406,3,1
331,0.676583,0.500254,3,1
332,0.705683,0.484854,3,1
333,0.658172,0.497464,3,1
334,0.700235,0.444425,3,1
335,0.636691,0.465622,3,1
336,0.65053,0.492805,3,1
337,0.671829,0.445788,3,1
338,0.662081,0.496292,3,1
339,0.652729,0.486395,3,1
340,0.662838,0.445954,3,1
341,0.698312,0.485782,3,1
342,0.684163,0.484107,3,1
343,0.671984,0.518279,3,1
344,0.667534,0.505559,3,1
345,0.662117,0.492042,3,1
346,0.639493,0.500853,3,1
347,0.682011,0.433643,3,1
348,0.671989,0.480109,3,1
349,0.690431,0.429933,3,1
350,0.693915,0.487837,3,1
351,0.681003,0.515186,3,1
352,0.65631,0.484788,3,1
353,0.654803,0.500693,3,1
354,0.67346,0.441179,3,1
355,0.713729,0.428834,3,1
356,0.651102,0.490223,3,1
357,0.694664,0.493277,3,1
358,0.672581,0.455253,3,1
359,0.6657,0.470281,3,1
360,0.662773,0.493019,3,1
361,0.652594,0.491969,3,1
362,0.693058,0.481735,3,1
363,0.674908,0.478526,3,1
364,0.691892,0.463872,3,1
365,0.704381,0.441584,3,1
366,0.662594,0.469511,3,1
367,0.705723,0.487941,3,1
368,0.691141,0.496181,3,1
369,0.693546,0.464255,3,1
370,0.650899,0.481603,3,1
371,0.697241,0.480718,3,1
372,0.668262,0.449465,3,1
373,0.663882,0.448828,3,1
374,0.660621,0.471567,3,1
375,0.67499,0.454575,3,1
376,0.676619,0.461607,3,1
377,0.70022,0.4529,3,1
378,0.704678,0.474981,3,1
379,0.675512,0.497915,3,1
380,0.683145,0.503797,3,1
381,0.626069,0.501501,3,1
382,0.694548,0.466231,3,1
383,0.698778,0.465052,3,1
384,0.735705,0.501075,3,1
385,0.656631,0.487491,3,1
386,0.670063,0.462543,3,1
387,0.669978,0.491896,3,1
388,0.709772,0.503499,3,1
389,0.65872,0.50586,3,1
390,0.704521,0.425455,3,1
391,0.660178,0.504175,3,1
392,0.673523,0.459339,3,1
393,0.655279,0.482447,3,1
394,0.674602,0.468086,3,1
395,0.693548,0.517072,3,1
396,0.676065,0.454149,3,1
397,0.693751,0.476596,3,1
398,0.6737,0.5141,3,1
